Id,Schottlaender v4.0,Maynard and Miles,Title,Publisher,Year,Description
junkie-1,A1a,A1a,Junkie,"New York: Ace Books, Inc.",1953,First. Not as much yellowing as is typical.
junkie-2,A1a,A1a,Junkie,"New York: Ace Books, Inc.",1953,"First. Signed by Burroughs, dated ""Nov. 6, 1985"". Yellowing and fragile, bookseller's sticker on inside front cover."
junkie-3,A1b,A1b,Junkie,London: Digit Books,1957,First English. In custom clamshell case.
british-journal-of-addiction-5-1,C3,C1b,British Journal of Addiction 53(2),,1957,"Offprint of Burroughs' article ""Letter From A Master Addict To Dangerous Drugs."" Limited to 50 copies. Signed by Burroughs, inscribed to Nelson Lyon ""For Nelson, William S. Burroughs October 20, 1992."" With postmarked envelope with William Burroughs Communications return address."
chicago-review-12-3-1,C5,C5,Chicago Review 12(3),,1958,Soiled and worn on the spine.
the-naked-lunch-1,A2a,A2a,The Naked Lunch,Paris: The Olympia Press,1959,First. Signed by Burroughs. With slight chipping and tearing on dust jacket spine.
big-table-1-1,C7,C6,Big Table 1,,1959,
big-table-2-1,C8,C7,Big Table 2,,1959,
the-exterminator-1,A3a,A4a,The Exterminator,San Francisco: The Auerhahn Press,1960,First. Yellowing on edges.
the-exterminator-2,A3a,A4a,The Exterminator,San Francisco: The Auerhahn Press,1960,First. Little yellowing.
minutes-to-go-1,A4a,A3a,Minutes To Go,Paris: Two Cities Editions,1960,First. Slightly soiled wrappers with wear on spine.
big-table-4-1,C14,C16,Big Table 4,,1960,
the-soft-machine-1,A5a,A5a,The Soft Machine,Paris: The Olympia Press,1961,First.
the-floating-bear-5-1,C24,"C31, C32",The Floating Bear 5,,1961,
the-outsider-1-1,C33,C35,The Outsider 1,,1961,
rhinozeros-5-1,C34,C38,Rhinozeros 5,,1961,
naked-lunch-1,A2b,A2b,Naked Lunch,"New York: Grove Press, Inc.",1962,First American.
from-naked-lunch-1,A2b1,F7,From Naked Lunch,"New York: Grove Press, Inc.",1962,"Pre-publication brochure for Naked Lunch Grove Press edition. Signed and dated ""12/18/87"" by Burroughs."
the-ticket-that-exploded-1,A6a,A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,First.
the-ticket-that-exploded-2,A6a,A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,"First. Signed by Burroughs, inscribed ""For Ralph"", without dust jacket."
the-ticket-that-exploded-3,A6a,A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,First. Signed by Burroughs. With slight yellowing on dust jacket.
evergreen-review-6-22-1,C38,C39,Evergreen Review 6(22),,1962,
rhinozeros-6-1,C44,C43,Rhinozeros 6,,1962,
rhinozeros-7-1,C45,C45,Rhinozeros 7,,1962,
takis-1,G89,F5,Takis,,1962,
dead-fingers-talk-1,A7a,A7a,Dead Fingers Talk,London: John Calder,1963,First.
the-yage-letters-1,A8a,A8a,The Yage Letters,San Francisco: City Lights Books,1963,First.
lsd-the-consciousness-expandi-1,,B15a,LSD: The Consciousness-Expanding Drug,New York: Putnam,1964,"First. Personal copy of Owsley Stanley, signed by Stanley."
junkie-4,A1c,A1c,Junkie,"New York, NY: Ace Books",1964,"First American, first state."
the-naked-lunch-2,A2d,A2c,The Naked Lunch,London: John Calder,1964,First English.
the-naked-lunch-3,A2d,A2c,The Naked Lunch,London: John Calder,1964,"First English. An advance copy in the form of unbound signatures, uncut. Fingermarks, slightly soiled."
the-coldspring-news-1,A9,C124c,The Coldspring News,"Flint, MI: Fenian Head Centre Press",1964,"First. Per Brewer's Books: ""This is one of the separately issued copies with no fold creases. Newsprint very tanned penciled price in upper right hand corner as it was sold in some bookstores in the '60's for ten cents each. ... No copyright at lower edge which according to Maynard and Miles (C124c) means it is a 'later state' ..."""
nova-express-1,A10a,A10a,Nova Express,"New York: Grove Press, Inc.",1964,First. Tear on spine of dust jacket.
nova-express-2,A10a,A10a,Nova Express,"New York: Grove Press, Inc.",1964,"First. Signed by Burroughs, inscribed ""For Gerald Holsinger with all best wishes William S. Burroughs July 27, 1965 New York""."
pry-yourself-loose-and-listen-1,A11,,Pry Yourself Loose And Listen,"Tangier, Morocco: Ira Cohen",1964,First. In wrappers.
roosevelt-after-inauguration-1,A12,A9a,Roosevelt After Inauguration,New York: Fuck You Press,1964,First.
roosevelt-after-inauguration-2,A12,A9a,Roosevelt After Inauguration,New York: Fuck You Press,1964,"First. Signed by Burroughs and Allen Ginsberg, dated ""1978"" by Ginsberg."
arcade-1-1,C64,"C84, C85, C86",Arcade 1,,1964,
my-own-mag-9-1,C89,C101,My Own Mag 9,,1964,
nova-express-3,A10b,A10b,Nova Express,"New York: Grove Press, Inc.",1965,"Second, sixth printing. Wrappers partially separated from spine."
health-bulletin-apo-33-a-met-1,A13a,A12a,"Health Bulletin: APO-33, A Metabolic Regulator",New York: Fuck You Press,1965,"First. From James Musser's description: ""Mimeographed sheets, stapled at the edge. The correct first edition. The legendarily rare Fuck You Press edition of this title published by Ed Sanders who abandoned the project before completion. According to Sanders ""maybe as many as ten or twenty"" copies were distributed before he halted publication due to Burroughs' dissatisfaction with the copy he'd received. Maynard and Miles state that ""a good early copy was secured by Bill Beckman,"" and that is the copy offered here. Bill Beckman was an artist from Texas who designed album covers for The Fugs, and a good friend of Sanders who regularly gave him copies of current Fuck You Press publications. This copy bears Beckman's ownership signature on the title page. If only 10 or 20 copies did exist originally, far fewer have been accounted for. We know of only 3 copies in private hands, NUC and WORLDCAT turn up no copies in institutions (though there is a copy at Northwestern), and we've never seen a copy offered for sale. The cover sheet has pulled loose from two staples, else fine with all of the illustrations pasted in. Housed in a handsome clamshell box."""
time-1,A15a,A11a,Time,"New York: ""C"" Press",1965,"First. Number 91 of 100, signed by Burroughs and Gysin. Some wear on spine."
time-2,A15a,A11a,Time,"New York: ""C"" Press",1965,"First. Signed by Burroughs and Brion Gysin, who contributed four drawings. Number 22 of 100, some yellowing and wear on spine."
valentine-s-day-reading-1,A16,F12,Valentine's Day Reading,New York: The American Theatre for Poets,1965,"First. Per James Musser: ""Program distributed on the occasion of Burroughs' appearance at the East End Theatre in New York, 1965, for a Valentine's Day reading sponsored by The American Theatre for Poets.  Prints ""Transcript of Dutch Schultz's Last Words"" and ""The Coldspring News.""  This is Lawrence Ferlinghetti's copy with the notation ""Save for CLJ #3"" in Ferlinghetti's hand.  Ferlinghetti was apparently going to include this piece in City Lights Journal #3, but decided against it.  Signed by William Burroughs."" These are pages 1 through 6, lacking the cover sheet and page 7 (""The Coldspring News"")."
the-marijuana-newsletter-1-1,C107,C103,The Marijuana Newsletter 1,,1965,
the-marijuana-newsletter-2-1,C108,C110,The Marijuana Newsletter 2,,1965,
my-own-mag-11-1,"C113, C110","C105, C106, C107, C108",My Own Mag 11,,1965,
my-own-mag-12-1,"C114, C96","C112, C113",My Own Mag 12,,1965,
my-own-mag-13-1,C115,C122,My Own Mag 13,,1965,Limited. Numbered 398 of 500.
my-own-mag-14-1,"C116, C112",C131,My Own Mag 14,,1965,
paris-review-35-1,C119,"C127, E3",Paris Review 35,,1965,Signed by Burroughs at entry.
naked-lunch-2,A2e,A2d,Naked Lunch,"New York: Grove Press, Inc.",1966,Second printing.
the-soft-machine-2,A5b,A5b,The Soft Machine,"New York: Grove Press, Inc.",1966,First American.
nova-express-4,A10c,A10c,Nova Express,London: Jonathan Cape,1966,First English. With wording on page 4 blacked out with black magic marker.
apo-33-bulletin-1,A13b,A12b,APO-33 Bulletin,"San Francisco: Beach Books, Texts and Documents",1966,Second. Some yellowing and chipping of pages.
east-side-review-1-1-1,C126,C132,East Side Review 1(1),,1966,
my-own-mag-15-1,C142,"C137, C138, C139, C140",My Own Mag 15,,1966,
the-invisible-generation-1,C146,,The Invisible Generation,London: Project Sigma,1966,"First edition thus. 11 3/8"" x 17"", offset-printed on recto only."
the-soft-machine-3,A5c,A5c,The Soft Machine,"New York: Grove Press, Inc.",1967,"First American paperback. Owner's signature, some yellowing."
the-ticket-that-exploded-4,A6b,A6b,The Ticket That Exploded,"New York: Grove Press, Inc.",1967,First American. Dust jacket slightly torn vertically on back.
the-ticket-that-exploded-5,A6b,A6b,The Ticket That Exploded,"New York: Grove Press, Inc.",1967,First American. Signed by Burroughs. Dust jacket slightly yellowed.
so-who-owns-death-tv-1,A17a,A13a,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,First.
so-who-owns-death-tv-2,A17a,A13a,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,First (variant). Some creasing in lower left hand corner and close to spine.
so-who-owns-death-tv-3,A17b,A13b,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,Second. Slight evidence of price sticker removal on front wrapper.
burroughs-pelieu-kaufman-1,A18a,D11,Burroughs Pelieu Kaufman,Paris: L'Herne,1967,First. Number 33 of 40. With uncut pages and with signed and numbered lithograph by Jean Helion laid in.
klacto-23-1,C162,C174,Klacto 23,,1967,
les-lettres-du-yage-1,D143,D10,Les lettres du Yage,Paris: L'Herne,1967,"First French. Presentation copy  inscribed by Burroughs ""For Mary Beach and Claude Pelieu William Burroughs"" , also signed by Allen Ginsberg ""Allen Ginsberg Ah."""
minutes-to-go-2,A4b,A3b,Minutes To Go,"San Francisco: Beach Books, Texts and Documents",1968,First American. Owner's signature.
minutes-to-go-3,A4b,A3b,Minutes To Go,"San Francisco: Beach Books, Texts and Documents",1968,"First American. Personal copy of Kathy Acker, signed by Acker."
the-soft-machine-4,A5d,A5d,The Soft Machine,London: Calder & Boyars,1968,"First British.  Inscribed by Burroughs to his agent Michael Henshaw ""For Michael Henshaw with friendship and best wishes William S. Burroughs."""
the-ticket-that-exploded-6,A6c,A6c,The Ticket That Exploded,"New York: Grove Press, Inc.",1968,"Second printing. Inscribed by Burroughs on title page “For Richard Aaron William S. Burroughs."" Per Ken Lopez, at one time this was in the collection of Robert and Donna Jackson: ""Jackson, a book collector long before he purchased Burroughs' papers, also acquired a number of other copies of Burroughs titles, including ... another group inscribed to Richard Aaron, the bookseller who had helped facilitate the sale of the [Vaduz] archive."""
the-ticket-that-exploded-7,A6d,A6d,The Ticket That Exploded,London: Calder & Boyars,1968,"First English. Signed by Burroughs, inscribed ""For Brad"".  I obtained this item from Red Stodolsky of Baroque Books in Hollywood in the late Eighties; I remember Red smiling gnomically when he handed it to me, as if he'd arranged to get it inscribed for me, but I have no real proof that that was the case. Slight tear and rubbing on spine of dust jacket."
apo-33-bulletin-2,A13c,A12c,APO-33 Bulletin,"San Francisco: Beach Books, Texts and Documents",1968,Third. Second printing of Beach edition.
apomorphine-1,A20,D14,Apomorphine,Paris: L'Herne,1969,"First. Per James Musser: ""Softbound (no hardbound issued). First edition. Prints ""Apomorphine"" in it's entirety (in three-column style), as well as ""Day the Records Went Up,"" ""Coldspring News,"" ""Parenthetically 7 Hertz,"" and more. Among the scarcer Burroughs items. Fine. (French text.)"""
the-dead-star-1,A21,A14a,The Dead Star,San Francisco: The Nova Broadcast Press,1969,First.
the-dead-star-2,A21,A14a,The Dead Star,San Francisco: The Nova Broadcast Press,1969,First. Signed by Burroughs.
fruit-cup-0-1,C230,"C243, C244",Fruit Cup 0,,1969,
wormwood-review-9-4-36-1,C262,C247,"Wormwood Review 9, 4(36)",,1969,
le-ticket-qui-explosa-1,D123,D13,Le Ticket Qui Explosa,Paris: Christian Bourgois Editeur,1969,First French. Wrappers yellowed on spine.
entretiens-avec-william-burrou-1,H9a,A15a,Entretiens avec William Burroughs,Paris: Editions Pierre Belfond,1969,"First. Inscribed by Burroughs to the dealer and proprietor of Am Here Books, Richard Aaron:  ""For Richard Aaron, William Burroughs."""
the-soft-machine-5,A5e,A5f,The Soft Machine,London: Corgi Books,1970,First edition thus.
the-last-words-of-dutch-schult-1,A22a,A17a,The Last Words of Dutch Schultz,London: Cape Goliard Press,1970,First. Some yellowing to dust jacket.
the-last-words-of-dutch-schult-2,A22a,A17a,The Last Words of Dutch Schultz,London: Cape Goliard Press,1970,"First. Signed and numbered by Burroughs, 13 of 100. With tissue wraps as issued."
it-74-1,C280,C269,IT: 74,,1970,
the-braille-film-1,G94,B55a,The Braille Film,San Francisco: Nova Broadcast Press,1970,
the-job-1,H9b,A16a,The Job,"New York: Grove Press, Inc.",1970,First.
the-job-2,H9b,A16a,The Job,"New York: Grove Press, Inc.",1970,"First. Signed by Burroughs, inscribed ""To Mike”."
the-job-3,H9b,A16a,The Job,"New York: Grove Press, Inc.",1970,First. Uncorrected proof. Comb-bound in slightly soiled faded orange wrappers.
the-job-4,H9c,A16b,The Job,London: Jonathan Cape,1970,"First English. Personal copy of Allen Ginsberg, signed by Ginsberg and Burroughs. Inscribed by Burroughs on title page ""For Allen a co worker of many years with respect for his achievements in the cause of freedom William Burroughs 1980"". Ownership signature of Ginsberg on obverse of leaf before title page, with notation at bottom ""Signed June 12, 1980 by WSB."" Publisher's slip (""with compliments from Tom Maschler Jonathan Cape Ltd. 30 Bedford Square London SW1"") and postcard (with picture of Ginsberg and Peter Orlovsky copyright Elsa Dorfman and the Witkin Gallery) laid in."
ali-s-smile-record-1,A23a,A19a,Ali's Smile - Record,"Brighton, England: Unicorn Books",1971,"First. A copy of the record with sleeve originally supplied with the book. This copy was purchased from a different source than my copy of the book, so there's no evidence that the two constituted a complete set. Since one would expect complete sets to stay together, it is unlikely that they ever were. But together they form a made-up copy."
ali-s-smile-1,A23a,A19a,Ali's Smile,"Brighton, England: Unicorn Books",1971,"First. Signed and numbered by Burroughs, 39 of 99. Unfortunately missing the original box and record."
electronic-revolution-1,A24a,A21a,Electronic Revolution,Cambridge: Blackmoor Head Press,1971,"First. Includes four prints signed by Brion Gysin and publisher's prepublication announcement (Maynard and Miles F27) laid in. Inscribed by Burroughs ""for Philip Kaplan Williams Burroughs."" Number 10 of 50. In slipcase with numbered label."
electronic-revolution-2,A24a,A21a,Electronic Revolution,Cambridge: Blackmoor Head Press,1971,First.
electronic-revolution-prepubli-1,A24a1,F27,Electronic Revolution Prepublication Announcement,Cambridge: Blackmoor Head Press,1971,First. The prepublication announcement for Electronic Revolution (Maynard and Miles A21a).
die-elektronische-revolution-1,A24b,D27,Die elektronische Revolution,Bonn: Expanded Media Editions,1971,First German. Number 11 of 100.
jack-kerouac-1,A25,A18a,Jack Kerouac,Paris: L'Herne,1971,First. Signed by Burroughs at contribution.
the-wild-boys-1,A26a,A20a,The Wild Boys,"New York: Grove Press, Inc.",1971,First. Signed by Burroughs.
antaeus-2-1,C302,C304,Antaeus 2,,1971,Maynard and Miles C304. Signed by Burroughs at entry.
letter-out-of-nowhere-1,G30,,Letter Out Of Nowhere,London: Anthony Harris,1971,"First. Per James Musser: ""Single sheet (done in the style of a letter) printing a cut-up by Burroughs of a Harris text.  Enclosed in a mailing envelope.  Slightly darkened from age, else fine (trivial wear to envelope)."""
promotional-flyer-for-am-here-1,G61,,Promotional Flyer for Am Here Books,"Ollon, Switzerland: Am Here Books",1971,"Fascimile of an untitled Burroughs manuscript page, revised text appearing later as ""Seeing Red"" in Exterminator!  Printed on the verso of a promotional announcement for Am Here Books, one of 70 printed. Folded and sealed with a Fluxus stamp as issued."
william-burroughs-the-algebr-1,I38a,,William Burroughs - The Algebra of Need,Buffalo: INTREPID Press,1971,First. Signed by Eric Mottram.
time-3,A15b,A11b,Time,"Sussex, England: Urgency Press Rip-Off",1972,"The piracy of the ""C"" Press edition."
time-4,A15b,A11b,Time,"Sussex, England: Urgency Press Rip-Off",1972,"The piracy of the ""C"" Press edition.  Some yellowing at top and bottom."
the-wild-boys-2,A20b,A20b,The Wild Boys,London: Calder and Boyars,1972,First English. Slightly soiled dust jacket.
the-wild-boys-3,A26c,A20d,The Wild Boys,"New York: Grove Press, Inc.",1972,First American paperback. Signed by Burroughs.
proposed-layout-for-wsb-archiv-1,,,Proposed Layout For WSB Archive Description,n.p.,1973,"Drawing by Barry Miles titled ""Proposed Layout For WSB Archive Description"", in reference to the ""A Descriptive Catalogue of the William S . Burroughs Archive,"". Drawing signed by Miles. Together with a letter and stamped envelope from Roberto Altmann to Philip Kaplan discussing a question about publishing matters at Altmann's Aperios imprint, and a 1974 New's Year greetings card from Maggy and Roberto Altmann, with artwork signed ""MA."""
william-burroughs-archive-cont-1,,,William Burroughs Archive Contract,"Vaduz, Liechtenstein: n.p.",1973,"Richard Aaron's copy of the contract (in German) for the sale of Burroughs' literary archive, as described in ""A Descriptive Catalogue of the William S. Burroughs Archive,"" to Roberto Altmann. Signed by Burroughs, Brion Gysin, Richard Aaron and Altmann, and dated 23 June 1973. This is the archive now in the Berg Collection of the New York Public Library."
william-burroughs-archive-fl-1,,,William Burroughs Archive - Flyer,n.p.,1973,"The typescript of the introductory section of ""A Descriptive Catalogue of the William S . Burroughs Archive,"" together with notes on the catalog by Brion Gysin on lined notebook paper. Notes slightly yellowed at top, else fine. Per James Musser: ""GYSIN, Brion.  Gysin's handwritten notes listing corrections for The Descriptive Catalog of the William S. Burroughs Archive published by Covent Garden in 1973.  3 pages.  4to.  Gysin carefully lists, page-by-page, suggested corrections to the text of the catalog of the Burroughs archive that also included much of his own material.  TOGETHER WITH two pages of original typescript by Gysin titled ""Flyer.""  Gysin's text, never published, was intended to be a promotional flyer describing the catalog of the Burroughs archive.  Fine."""
ali-s-smile-2,A22b,,Ali's Smile,"Bonn, Germany: Expanded Media Editions",1973,"First German. Bilingual English/German text. Number 22 of 100, signed by Burroughs."
ali-s-smile-3,A22b,,Ali's Smile,"Bonn, Germany: Expanded Media Editions",1973,"First German. Bilingual English/German text. Number 24 of 100, signed by Burroughs. Slight bend in bottom edge."
exterminator-1,A27,A23a,Exterminator!,"New York: The Viking Press, Inc.",1973,First. Dust jacket slightly soiled.
mayfair-acadamy-series-more-o-1,A28,A25a,Mayfair Acadamy Series (More or Less),"Brighton, England: Urgency Press Rip-Off",1973,First.
white-subway-1,A30,A24a,White Subway,London: Aloes Press,1973,First. Signed by Burroughs. Number 13 of 25. In custom clamshell case.
white-subway-2,A30,A24a,White Subway,London: Aloes Press,1973,First. In wrappers with several small scrapes and spots.
the-book-of-breething-1,A31a,,The Book of Breething,"Ingatestone, Essex, UK: OU Henri Chopin",1973,"First. The publisher's archive for The Book of Breething. Set in a four-ring binder, it contains: 1) the typescript of the book, with corrections in Burroughs' hand; 2) the contract between Burroughs, Verbrugghen and the publisher, Henri Chopin (in French), signed by Burroughs; 3) signed correspondence from Burroughs to Verbrugghen about the contract and completion of the book; 4) typescripts of French and Dutch translations of the text, by Jean Chopin and Verbrugghen, respectively; 5) a manuscript of the French translation by Jean Chopin; and 6) some of the original drawings by the artist, Bob Gale, being that on the cover and on pages 20, 22 and 28 of the first edition."
brion-gysin-let-the-mice-in-1,G31,A22a,Brion Gysin Let The Mice In,"West Glover, England: Something Else Press, Inc.",1973,First. Dust jacket slightly worn and rubbed in places.
catalogue-of-the-william-s-bu-1,I6,,Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. Some foxing to edges, and the top edge of the front of the acetate dust jacket is cut off."
a-descriptive-catalogue-of-the-1,I6,,A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, lettered O of 26. Bound in white leather. Laid in is a typescript signed by Burroughs with corrections in Burroughs' hand, corresponding to but with variations from the text on page 161 of the catalog describing Item 1 from Folio Number 65, starting ""Audrey Carsons, the Dead Child, the Frisco Kid..."" In slipcase."
a-descriptive-catalogue-of-the-2,I6,,A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. A presentation copy from Brion Gysin to Richard and Lilia Aaron. This copy has a full-page calligraphic drawing by Gysin (similar in form to the one numbered ""iv"" on the cover of the catalog) on the recto of the leaf before the title page. Signed by Gysin and inscribed ""for Lilia + Richard with love."" In acetate dust jacket."
jean-genet-in-tangier-1,,,Jean Genet in Tangier,New York: The Ecco Press,1974,First. Signed by Burroughs.  Contains forward by Burroughs.
exterminator-a-novel-1,A27b,,Exterminator! A Novel,London: Calder and Boyars,1974,Hardbound.
the-book-of-breething-2,A31a,,The Book of Breething,"Ingatestone, Essex, UK: OU Henri Chopin",1974,"First. Signed by Burroughs. One of 350, unnumbered, in wrappers. Some fading of print on front cover."
electric-banana-1,,,Electric Banana,"Cherry Valley, NY: Cherry Valley Editions",1975,"First. Signed by Mary Beach, one of 500 issued in wraps. Contains introduction by Burroughs. Price on back of cover wraps inked out."
the-last-words-of-dutch-schult-3,A22b,,The Last Words of Dutch Schultz,"New York: Viking Press, Inc.",1975,First American.
port-of-saints-1,A29a,,Port of Saints,"London: Covent Garden Press, Ltd.",1975,"First. Signed and numbered by Burroughs, number 32 of 100. Some rubbing to slipcase."
the-book-of-breething-3,A31b,,The Book of Breething,Berkeley: Blue Wind Press,1975,First American. Signed by Burroughs.
the-book-of-breething-4,A31b,,The Book of Breething,Berkeley: Blue Wind Press,1975,Simultaneous wraps issue of first American edition.
the-book-of-breething-5,A31b,,The Book of Breething,Berkeley: Blue Wind Press,1975,First American edition.
snack-1,A32,,Snack...,London: Aloes Books,1975,First.
verdelgen-1,A33,,Verdelgen,"Bussum, Netherlands: Uitgeverij Agathon",1975,First.
ruby-editions-portfolio-1-1,B2,,Ruby Editions Portfolio 1,London and Toronto: Wallrich Books,1975,"First. Signed by Burroughs on his contribution ""Une Poeme Moderne"", number 18 of 100. Also contains broadsides by Cozette de Charmoy and Henri Chopin. Tape has lost adhesive on portfolio folder."
sidetripping-1,G26a,,Sidetripping,"New York: Derbibooks, Inc.",1975,First.
william-s-burroughs-an-annot-1,I3,,William S. Burroughs: An Annotated Bibliography of his Works and Criticism,New York: Garland Reference Library of the Humanities,1975,"First. A bibliography compiled by Michael B. Goodman of SUNY, Stony Brook, predating the publication of Maynard and Miles. Without dust jacket as issued."
le-colloque-de-tanger-autogr-1,,,Le Colloque de Tanger - Autograph Letters,n.p.,1976,"Per James Musser: ""Also included [with Le Colloque de Tanger as obtained] are 6 Autograph Letters Signed from Francois Lagarde to Brion Gysin."""
cobble-stone-gardens-1,A34,,Cobble Stone Gardens,"Cherry Valley, NY: Cherry Valley Editions",1976,"First. One of 50 hand bound copies signed by Burroughs, but mysteriously unnumbered in spite of publisher's statement to the contrary. Bound in boards with black cloth and front wrapper pasted on front, with binding somewhat loose."
cobble-stone-gardens-2,A34,,Cobble Stone Gardens,"Cherry Valley, New York: Cherry Valley Editions",1976,First in wrappers. Slightly yellowed.
the-retreat-diaries-1,A35,,The Retreat Diaries,New York: The City Moon,1976,"First. Signed and lettered by Burroughs, I (or possibly L?) of 26. As issued in brown paper envelope with cutaway section exposing red-on-white image of Burroughs, on front wrapper, with Burroughs' lettering for title on front wrapper."
the-retreat-diaries-2,A35,,The Retreat Diaries,New York: The City Moon,1976,First. Signed by Burroughs and Allen Ginsberg. Slightly soiled.
oeuvre-croisee-1,A36a,,Oeuvre Croisee,Paris: Flammarion,1976,"First French. The true first edition of ""The Third Mind."" Signed by Brion Gysin, inscribed ""with best wishes Brion Gysin Paris 15 aug 81""."
le-colloque-de-tanger-1,G45a?,,Le Colloque de Tanger,Geneva: Editions Ottezec,1976,"Ten black and white photos of Burroughs and Brion Gysin taken during the Colloque de Tanger symposium. Signed by Burroughs, Gysin, Francois LeGarde (the photographer) and Gerard-Georges Lemaire (the symposium's organizer.) Number 19 of 75. Tear and wear to lower left corner of printed folder."
the-coevolution-quarterly-16-1,C421,,The CoEvolution Quarterly 16,,1977,
the-yage-letters-2,A8b?,,The Yage Letters,San Francisco: City Lights Books,1978,Eighth printing.
the-third-mind-1,A36b,,The Third Mind,"New York: The Viking Press, Inc.",1978,First American.
the-third-mind-2,A36b,,The Third Mind,"New York: The Viking Press, Inc.",1978,First American.
ali-s-smile-naked-scientology-1,A37a,,Ali's Smile/Naked Scientology,Bonn: Expanded Media Editions,1978,First. Wear on corners and creases in spine.
when-naked-troubadours-shoot-s-1,A39,,When Naked Troubadours Shoot Snotty Baboons,"Northridge, CA: Lord John Press",1978,"First. Signed and numbered by Burroughs, number 99 of 100. Broadside, 14x20"", designed and illustrated by James R. Silke, also signed by him."
search-destroy-10-1,C455,,Search & Destroy 10,San Francisco: Search & Destroy,1978,"Contains ""Some Last Words with Hombre Invisible."" Signed by Burroughs, inscribed ""William Burroughs for Burt Bretton."" Some yellowing."
burroughs-i-junkie-auf-der-s-1,"D44, D68, D87, D145",,"Burroughs I (Junkie, Auf der Suche nach Yage, Naked Lunch, Nova Express)",Frankfurt: Zweitausendeins,1978,"First. Contains German translations of Junky, the Yage Letters, Naked Lunch and Nova Express. Inscribed by the translator Carl Wiessner: ""Dear William &mdash; One of the first copies, fresh from the binder's, to you - Hope you like this book - As ever, Carl"". Therefore this is presumably Burroughs' own copy. In cardboard slipcase."
the-three-minds-1,G46,,The Three Minds,Geneva: Images Nuit Blanche,1978,"First. A triptych of photographs made by Francois Legarde, with a photo of Burroughs on the right panel, Brion Gysin on the left, and a superimposed image of the two in the center. With folded insert, signed by Burroughs, Gysin and Legarde, number 17 of 35. In orange cardboard mounting."
the-nova-convention-1,G62,,The Nova Convention,New York: Entermedia,1978,"First. Inscribed by James Grauerholz 'For Brad Morrow ""You shoulda been there!"" James Grauerholz'."
